STATIONID,DATETIME,AIRTEMP(T),RH,SOLAR,WINDSPEED,W.DIRECTION,RAIN,SOILTEMPERATURE(T1),PRESSURE
48,"2021-03-16,11:45",29.51,48.95,0.078626,-,38.015,0,85,890.83
48,"2021-03-17,14:15",32.59,42.89,0.073797,-,-20,0,85,889.54
48,"2021-03-17,15:00",31.43,44.45,0.051204,-,175.261,0,85,888.7
48,"2021-03-17,17:30",30.8,,0.010391,-,175.305,0,85,886.67
48,"2021-03-17,17:45",30.92,38.84,0.010063,-,175.305,0,85,886.75
48,"2021-03-17,18:30",29.04,51.09,0.001922,-,176.226,0,85,887.92
48,"2021-03-17,18:45",28.93,51,0.001328,-,176.226,0,85,887.87
48,"2021-03-22,15:30",32.31,43.14,0,85,888.42,,,
48,"2021-03-22,15:45",30.63,47.64,0,85,888.21,,,
48,"2021-03-22,19:30",25.02,72.88,0,85,890.04,,,
48,"2021-03-22,20:45",22.17,70.9,0,85,890.39,,,
48,"2021-03-22,22:15",21.63,76.79,0,85,891.32,,,
48,"2021-03-23,00:15",21.27,83.29,0,85,892,,,
48,"2021-03-23,01:15",21.6,83.89,0,85,891.58,,,
48,"2021-03-23,01:30",21.6,83.33,0,85,891.39,,,
48,"2021-03-23,02:30",21.14,86.72,0,85,890.72,,,
48,"2021-03-23,03:15",21.19,86.49,0,-,890.4,,,
48,"2021-03-23,03:30",21.37,85.4,0,85,890.43,,,
48,"2021-03-23,04:15",21,87.86,-,85,890.3,,,
48,"2021-03-23,05:15",21.43,85.82,0,85,890.74,,,
48,"2021-03-23,05:30",21.46,85.82,0,85,890.7,,,
48,"2021-03-23,06:15",20.74,88.86,0,85,891.25,,,
48,"2021-03-23,06:30",20,89.55,0,85,891.24,,,
48,"2021-03-23,07:30",21.3,86.66,0,85,891.93,,,
48,"2021-03-23,07:45",21.92,85.4,0,-,892.09,,,
48,"2021-03-23,8:00",22.4,83.95,0,85,892.18,,,
48,"2021-03-24,01:15",20.55,88.41,0,85,892.26,,,
48,"2021-03-24,02:15",20.72,88.52,0,85,891.85,,,
48,"2021-03-24,02:30",20.31,89.59,0,85,891.98,,,
48,"2021-03-24,02:45",20.37,89.34,0,85,891.98,,,
48,"2021-03-24,03:30",20.19,89.79,0,85,891.54,,,
48,"2021-03-24,03:45",19.95,90.23,0,85,891.51,,,
48,"2021-03-24,05:30",20.34,91.06,-,85,891.41,,,
48,"2021-03-24,05:45",20.43,91.26,0,85,-,,,
48,"2021-03-24,7:00",20.3,91.11,0,85,892.26,,,
48,"2021-03-25,00:15",22.41,83.78,0,85,890.7,,,
48,"2021-03-25,01:30",22.26,85.84,0,85,890.71,,,
48,"2021-03-25,01:45",22.47,85.46,0,85,890.69,,,
48,"2021-03-25,2:00",22.4,85.61,0,85,890.68,,,
48,"2021-03-26,00:45",22.57,85.99,0,85,890.05,,,
48,"2021-03-26,1:00",22.35,86.56,0,85,890.14,,,
48,"2021-03-26,20:30",26.48,62.1,0,-,890.83,,,
48,"2021-03-26,20:45",26.25,63.66,0,85,890.8,,,
48,"2021-03-26,23:15",22.56,73.29,0,85,894.09,,,
48,"2021-03-27,00:15",19.6,77.29,-,85,893.48,,,
48,"2021-03-27,00:30",20.06,73.94,0,85,892.93,,,
48,"2021-03-27,01:30",-,74.68,0,85,892.75,,,
48,"2021-03-27,01:45",20.62,74.75,0,85,892.59,,,
48,"2021-03-27,03:30",20.73,72.67,0,-,891.32,,,
48,"2021-03-27,03:45",20.46,73.9,0,-,891.32,,,
48,"2021-03-27,4:00",20.49,73.91,0,85,891.34,,,
48,"2021-03-28,01:15",20.6,83.91,0,85,893.43,,,
48,"2021-03-28,01:30",20.73,83.62,0,85,893.35,,,
48,"2021-03-28,02:15",20.33,88.76,0,-,892.75,,,
48,"2021-03-28,02:30",19.95,90.15,0,85,892.64,,,
48,"2021-03-28,02:45",19.92,90.1,0,85,892.63,,,
48,"2021-03-28,03:30",19.56,90.71,0,85,892.28,,,
48,"2021-03-28,04:15",19.63,90.22,0,85,892.24,,,
48,"2021-03-28,05:15",19.81,90.24,0,85,892.3,,,
48,"2021-03-28,06:15",19,90.05,0,85,892.59,,,
48,"2021-03-28,08:15",21.05,84.44,0,85,894.11,,,
48,"2021-03-28,09:15",23.91,67.24,0,85,894.64,,,
48,"2021-03-28,09:30",24.7,66.2,0,85,894.71,,,
48,"2021-03-28,10:30",26.7,59.42,0,85,895.07,,,
48,"2021-03-28,10:45",26.89,57.22,0,85,895.07,,,
48,"2021-03-28,11:45",28.75,53.87,0,85,894.22,,,
48,"2021-03-28,12:00",28.75,52.86,0,85,893.99,,,
48,"2021-03-28,13:15",30.05,50.34,0,85,892.92,,,
48,"2021-03-28,14:15",29.49,44.36,0,85,892.08,,,
48,"2021-03-28,17:15",30.47,43.57,0,-,889.77,,,
48,"2021-03-28,18:15",29.61,47.57,0,85,889.61,,,
48,"2021-03-28,19:30",26.26,57.77,0,-,890.14,,,
48,"2021-03-28,19:45",25.57,60.59,0,85,890.06,,,
48,"2021-03-28,20:00",25.77,59.62,0,85,890.07,,,
48,"2021-03-28,20:30",25.63,59.15,0,85,890.53,,,
48,"2021-03-28,20:45",26.25,56.18,0,85,890.83,,,
48,"2021-03-28,21:00",26.21,56.8,0,85,890.81,,,
48,"2021-03-28,22:15",24.21,72.77,0,85,892.21,,,
48,"2021-03-28,23:15",23.84,74.73,0,85,892.6,,,
48,"2021-03-29,00:15",23.58,78.01,0,85,892.92,,,
48,"2021-03-29,00:30",23.45,-,0,85,892.71,,,
48,"2021-03-29,01:30",23.34,79.69,-,85,892.64,,,
48,"2021-03-29,01:45",23.37,77.54,0,85,892.75,,,
48,"2021-03-29,02:45",22.21,79.59,0,85,891.99,,,
48,"2021-03-29,04:15",20.22,90.35,0,85,891.34,,,
48,"2021-03-29,04:30",20.21,90.18,0,85,891.26,,,
48,"2021-03-29,05:15",20.27,90.91,,,,,,
48,"2021-03-29,05:30",20.27,91.1,0,85,891.4,,,
48,"2021-03-29,05:45",20.15,90.99,0,85,891.49,,,
48,"2021-03-29,06:45",20.03,90.79,0,85,891.6,,,
48,"2021-03-29,7:00",20.2,90.52,0,85,891.61,,,
48,"2021-03-30,01:15",22.17,80.56,0,-,891.75,,,
48,"2021-03-30,01:30",22.02,81.35,0,85,891.7,,,
48,"2021-03-30,02:15",20.64,89.75,0,85,891.72,,,
48,"2021-03-30,02:30",20.68,89.88,,,,,,
48,"2021-03-30,03:15",20.37,86.45,-,85,891.5,,,
48,"2021-03-30,03:30",20.57,85.91,0,85,891.46,,,
48,"2021-03-30,03:45",20.61,85.35,0,85,891.49,,,
48,"2021-03-30,04:30",20.61,88.83,0,85,891.54,,,
48,"2021-03-30,04:45",20.61,-,0,85,891.62,,,
48,"2021-03-30,5:00",20.62,88.99,0,-,891.67,,,
48,"2021-03-31,00:30",21.61,88.46,0,85,892.98,,,
48,"2021-03-31,00:45",21.57,88.99,0,-,892.94,,,
48,"2021-03-31,01:15",21.38,89.12,0,85,892.64,,,
48,"2021-03-31,01:30",21.34,88.78,0,85,892.64,,,
48,"2021-03-31,02:15",21.29,89.59,0,85,892.51,,,
48,"2021-03-31,04:15",20.92,89.93,0,85,891.7,,,
48,"2021-03-31,04:30",20.73,90.3,-,85,891.78,,,
48,"2021-03-31,05:30",20.41,90.62,0,85,892.13,,,
48,"2021-03-31,05:45",-,90.79,0,85,892.14,,,
48,"2021-03-31,06:30",20.32,90.79,0,85,892.28,,,
48,"2021-03-31,07:30",21.43,90.08,0,85,892.98,,,
48,"2021-03-31,07:45",22.06,89.62,0,85,893.01,,,
48,"2021-03-31,8:00",22.16,89.25,0,85,893.0348,,,
48,"2021-04-01,01:30",19.17,91.65,-,-,-,0,85,892.61
48,"2021-04-01,02:15",19.17,92.06,-,-,-,-,85,892.37
48,"2021-04-01,02:30",19.1,91.92,-,-,-,0,85,8
48,"2021-04-01,02:45",19.14,91.87,-,-,-,0,85,892.35
48,"2021-04-01,03:30",19.17,91.15,-,-,-,0,85,891.38
48,"2021-04-01,03:45",19.21,91.12,-,-,-,0,85,891.57
48,"2021-04-01,05:15",18.93,92.46,-,-,-,0,85,892.14
48,"2021-04-01,06:15",19.24,90.53,-,-,-,0,-,892.49
48,"2021-04-01,06:30",19.08,90.95,-,-,-,0,85,892.56
48,"2021-04-01,07:30",19.63,90.34,-,-,-,0,85,892.9948
48,"2021-04-01,11:00",26.75,67.65,-,-,-,0,85,893.97
48,"2021-04-01,12:30",29.52,55.04,0.086657,-,378.049,0,85,892.71
48,"2021-04-01,13:15",28.6,60.06,0.024703,-,378.049,0,85,892.07
48,"2021-04-01,14:30",28.91,62.94,0.074922,-,376.154,0,-,890.98
48,"2021-04-01,14:45",28.95,63.21,0.010109,-,378.058,159,85,890.98
48,"2021-04-01,15:30",30.45,57.74,0.058516,-,378.086,0,85,890.32
48,"2021-04-01,15:45",30.26,57.66,0.056125,-,378.086,0,85,890.29
48,"2021-04-01,16:30",31.06,46.92,0.041641,-,174.495,0,85,889.8
48,"2021-04-01,16:45",30.76,45.67,0.038438,-,378.095,0,85,889.68
48,"2021-04-01,17:30",30.31,44.62,0.02375,-,376.209,0,85,889.34
48,"2021-04-01,18:30",29.26,50.11,0.005609,-,378.104,0,-,889.93
48,"2021-04-01,19:30",25.23,70.68,0,-,378.095,0,85,890.37
48,"2021-04-01,19:45",24.93,70.19,0,-,378.095,0,85,890.32
48,"2021-04-01,21:30",23.7,80.17,0,-,378.068,0,85,892.1
48,"2021-04-01,22:45",23.65,81.12,-,-,-,0,85,892.94
48,"2021-04-01,23:00",23.55,81.59,-,-,-,0,85,892.92
48,"2021-04-02,00:45",22.1,88.25,-,-,-,0,85,892.1
48,"2021-04-02,1:00",21.5,88.76,-,-,-,0,85,892.13
48,"2021-04-02,00:45",22.1,88.25,-,-,-,0,85,892.1
48,"2021-04-02,1:00",21.5,88.76,-,-,-,0,85,892.13
48,"2021-04-02,00:45",22.1,88.25,-,-,-,0,85,892.1
48,"2021-04-02,1:00",21.5,88.76,-,-,-,0,85,892.13
48,"2021-04-02,00:45",22.1,88.25,-,-,-,0,85,892.1
48,"2021-04-02,1:00",21.5,88.76,-,-,-,0,85,892.13
48,"2021-04-02,3:00",21.88,89.54,-,-,-,0,85,891.8
48,"2021-04-02,3:00",21.88,89.54,-,-,-,0,85,891.8
48,"2021-04-02,04:15",21.39,89.86,-,-,-,0,85,892.04
48,"2021-04-02,04:30",21.38,89.7,-,-,-,0,-,892.09
48,"2021-04-02,05:15",20.76,90.69,-,-,-,0,85,892.2
48,"2021-04-02,05:30",20.81,90.71,-,-,-,0,85,892.3
48,"2021-04-02,06:15",20.62,90.24,-,-,-,0,85,892.68
48,"2021-04-02,08:15",20.69,91.16,-,-,-,0,85,894.66
48,"2021-04-02,09:15",21.7,89.74,-,-,-,0,85,894.85
48,"2021-04-02,09:30",24.06,90.12,-,-,-,0,-,895.04
48,"2021-04-02,09:45",22.13,89.73,-,-,-,0,-,895.02
48,"2021-04-02,12:15",23.07,84.08,-,-,-,0,85,894.76
48,"2021-04-02,14:15",25.49,72.57,0.076657,-,376.154,0,85,892.85
48,"2021-04-02,14:30",24.93,73.73,0.071282,-,378.068,0,-,892.69
48,"2021-04-02,15:00",25.04,71.03,0.077876,-,376.19,0,-,892.28
48,"2021-04-02,16:30",25.8,68.65,0.03386,-,378.104,0,85,891.11
48,"2021-04-02,16:45",25.5,70.33,0.032938,-,380,0,85,891.33
48,"2021-04-02,18:15",25.4,67.39,0.007719,-,378.104,0,85,891.72
48,"2021-04-02,18:30",25.23,68.99,0.005266,-,378.104,116,85,891.55
48,"2021-04-02,19:15",23.65,77.08,0.000016,-,376.19,-,85,892.31
48,"2021-04-02,19:30",23.56,76.84,0,-,376.19,0,85,892.31
48,"2021-04-02,20:15",22.87,80.15,0.000000,-,378.077,0,-,892.65
48,"2021-04-02,20:30",22.80,81.13,0.000000,-,376.154,0,-,892.68
48,"2021-04-02,21:15",22.27,85.10,-,-,-,0,85.00,892.82
48,"2021-04-02,21:30",22.35,84.24,-,-,-,0,85.00,892.86
48,"2021-04-02,21:45",22.51,83.97,-,-,-,0,85.00,892.93
48,"2021-04-02,22:30",21.75,87.93,-,-,-,0,-,893.68
48,"2021-04-02,23:15",22.02,86.61,-,-,-,0,85.00,-
48,"2021-04-02,23:30",21.99,86.88,-,-,-,0,85.00,894.11
48,"2021-04-03,00:15",21.84,85.77,-,-,-,0,85.00,893.98
48,"2021-04-03,01:15",21.67,88.32,-,-,-,0,-,893.62
48,"2021-04-03,01:30",21.50,89.16,-,-,-,0,85.00,893.49
48,"2021-04-03,02:15",20.70,90.94,-,-,-,0,85.00,893.28
48,"2021-04-03,02:30",20.61,90.75,-,-,-,0,85.00,893.14
48,"2021-04-03,02:45",20.57,90.72,-,-,-,0,85.00,893.02
48,"2021-04-03,03:45",20.13,91.35,-,-,-,0,85.00,892.73
48,"2021-04-03,4:00",20.21,90.60,-,-,-,0,85.00,892.83
48,"2021-04-03,03:45",20.13,91.35,-,-,-,0,85.00,892.73
48,"2021-04-03,4:00",20.21,90.60,-,-,-,0,85.00,892.83
48,"2021-04-03,04:45",19.54,90.98,-,-,-,-,85.00,892.48
48,"2021-04-03,5:00",19.46,91.10,-,-,-,0,85.00,892.37
48,"2021-04-03,04:45",19.54,90.98,-,-,-,-,85.00,892.48
48,"2021-04-03,5:00",19.46,91.10,-,-,-,0,85.00,892.37
48,"2021-04-03,04:45",19.54,90.98,-,-,-,-,85.00,892.48
48,"2021-04-03,5:00",19.46,91.10,-,-,-,0,85.00,892.37
48,"2021-04-03,04:45",19.54,90.98,-,-,-,-,85.00,892.48
48,"2021-04-03,5:00",19.46,91.10,-,-,-,0,85.00,892.37
48,"2021-04-03,04:45",19.54,90.98,-,-,-,-,85.00,892.48
48,"2021-04-03,5:00",19.46,91.10,-,-,-,0,85.00,892.37
48,"2021-04-03,04:45",19.54,90.98,-,-,-,-,85.00,892.48
48,"2021-04-03,5:00",19.46,91.10,-,-,-,0,85.00,892.37
48,"2021-04-03,05:45",19.56,91.18,-,-,-,0,85.00,892.67
48,"2021-04-03,6:00",19.45,91.46,-,-,-,0,-,892.68
48,"2021-04-03,05:45",19.56,91.18,-,-,-,0,85.00,892.67
48,"2021-04-03,6:00",19.45,91.46,-,-,-,0,-,892.68
48,"2021-04-03,05:45",19.56,91.18,-,-,-,0,85.00,892.67
48,"2021-04-03,6:00",19.45,91.46,-,-,-,0,-,892.68
48,"2021-04-03,05:45",19.56,91.18,-,-,-,0,85.00,892.67
48,"2021-04-03,6:00",19.45,91.46,-,-,-,0,-,892.68
48,"2021-04-03,05:45",19.56,91.18,-,-,-,0,85.00,892.67
48,"2021-04-03,6:00",19.45,91.46,-,-,-,0,-,892.68
48,"2021-04-03,07:15",19.36,92.19,-,-,-,0,85.00,893.61
48,"2021-04-03,08:15",22.18,85.08,-,-,-,0,85.00,893.95
48,"2021-04-03,08:30",23.41,84.16,-,-,-,0,-,894.04
48,"2021-04-03,09:30",26.33,70.32,-,-,-,0,85.00,894.44
48,"2021-04-03,09:45",25.81,69.87,-,-,-,0,85.00,894.42
48,"2021-04-03,10:45",28.62,61.34,-,-,-,0,85.00,-
48,"2021-04-03,11:00",27.47,61.26,-,-,-,0,85.00,894.57
48,"2021-04-03,13:15",28.32,65.24,0.086516,-,378.049,0,85.00,892.73
48,"2021-04-03,13:30",27.86,65.40,0.086704,-,380.0,0,85.00,892.45
48,"2021-04-03,14:15",28.73,63.00,0.080532,-,378.077,0,-,891.44
48,"2021-04-03,14:30",29.71,60.67,0.079188,-,376.154,0,85.00,891.12
48,"2021-04-03,15:15",30.25,51.88,0.068485,-,376.19,0,85.00,890.13
48,"2021-04-03,15:30",30.,53.39,0.065626,-,376.19,0,85.00,890.13
48,"2021-04-03,16:15",30.22,51.79,0.056360,-,378.095,0,85.00,889.68
48,"2021-04-03,17:15",28.88,59.85,0.033032,-,380.0,0,85.00,890.54
